"reg";"acte";"nb_actes";"nb_sej_0_nuit";"dms"
"01";"HBGD4620";"17";"15";"0.11764705882352"
"01";"HBGD4890";"62";"47";"3.9516129032258"
"01";"HBGD4970";"43";"33";"1.1860465116279"
"01";"HBJB0010";"26";".";"3.31578947368421"
"01";"HBJD0010";"122";"77";"4.09259259259259"
"01";"HBMA0010";"42";"27";"0.48484848484848"
"01";"HBMD0380";"253";"59";"3.61728395061728"
"01";"HBMD0440";"21";".";"1.72727272727272"
"01";"HBMD0490";"97";"33";"0.78571428571428"
"01";"HBMD0500";"14";".";"0.125"
"01";"HBMD0530";"341";"71";"0.41935483870967"
"01";"HBMD0540";"150";"41";"1.05263157894736"
"01";"HBMD0580";"70";"24";"0.26666666666666"
"01";"HBPA0010";"11";"11";"0"
"01";"HBQK0020";"517";"73";"12.6766467065868"
"01";"HCFA0070";"19";".";"5.52631578947368"
"01";"HCFA0080";"17";".";"3.41176470588235"
"01";"HCHA0010";"11";".";"1.72727272727272"
"01";"HCHA0020";"77";"32";"3.8"
"01";"HCQX0040";"15";".";"3.6"
"01";"HDFA0210";"15";"14";"0.06666666666666"
"01";"HDJA0010";"21";".";"6.28571428571428"
"01";"HDQE0010";"46";"11";"3.97826086956521"
"01";"HEAE0030";"56";"15";"6.26923076923077"
"01";"HEFE0010";"44";"35";"1.02272727272727"
"01";"HEFE0020";"57";"51";"0.3859649122807"
"01";"HEFE0030";"30";"24";"0.56666666666666"
"01";"HEGE0010";"22";".";"2.63636363636363"
"01";"HEGE0020";"49";".";"3.46938775510204"
"01";"HEQE0010";"17";".";"5.23529411764705"
"01";"HEQE0020";"11658";"7877";"3.59480950716532"
"01";"HEQH0020";"343";".";"9.5811209439528"
"01";"HEQX0050";"13";"11";"3"
"01";"HESE0020";"75";"20";"13.6111111111111"
"01";"HFAD0010";"13";".";"19.2222222222222"
"01";"HFCA0020";"26";".";"43.64"
"01";"HFCA0030";"43";".";"17.4186046511627"
