"reg";"Acte CCAM + phase";"nb_actes";"nb_sej_0_nuit";"dms"
"01";"EGFA0010";"27";".";"3.88888888888888"
"01";"EGFA0020";"121";".";"2.23140495867768"
"01";"EGFA0030";"94";".";"3.26595744680851"
"01";"EGFA0100";"23";".";"2.57142857142857"
"01";"EGFC0010";"22";".";"0.72727272727272"
"01";"EGLF0010";"639";".";"33.2586206896551"
"01";"EGSF0020";"13";"11";"0.41666666666666"
"01";"EHNE0010";"57";"15";"3.33333333333333"
"01";"EHNE0020";"35";".";"12.0294117647058"
"01";"EJFA0020";"84";"16";"2.01234567901234"
"01";"EJFA0060";"19";"14";"2.84210526315789"
"01";"EJGA0010";"29";"18";"0.89655172413793"
"01";"EJGA0020";"237";"100";"1.46186440677966"
"01";"EJQM0010";"19";".";"10.6842105263157"
"01";"EJQM0030";"1070";"32";"17.3653653653653"
"01";"EJQM0040";"504";"50";"12.2085106382978"
"01";"EJSA0010";"46";".";"2.39130434782608"
"01";"EKQH0020";"34";"27";"1.47058823529411"
"01";"ELQH0020";"53";".";"16.0576923076923"
"01";"ELQM0010";"206";"169";"1.33009708737864"
"01";"ELQM0020";"23";".";"6.05"
"01";"EMQH0010";"175";".";"22.5481927710843"
"01";"ENLF0010";"852";"26";"19.7822706065318"
"01";"ENQX0110";"13";".";"2.23076923076923"
"01";"EPCA0010";"39";".";"4.1025641025641"
"01";"EPLA0020";"11";".";"27.9090909090909"
"01";"EPLF0010";"35";".";"8.45"
"01";"EPLF0020";"1742";"107";"19.8092307692307"
"01";"EPLF0040";"297";"185";"1.93959731543624"
"01";"EPLF0050";"1645";"1180";"9.03215926493108"
"01";"EQGA0010";"21";".";"43.55"
"01";"EQLA0010";"15";".";"22.7333333333333"
"01";"EQLA0020";"28";".";"36.7083333333333"
"01";"EQLF0010";"265";".";"21.2685185185185"
"01";"EQLF0020";"6496";"114";"10.6604984894259"
"01";"EQLF0030";"4422";"49";"19.6272799365582"
"01";"EQLF0050";"235";".";"41.8382352941176"
"01";"EQMF0030";"115";".";"4.80392156862745"
"01";"EQMP0010";"96";".";"34.2173913043478"
"01";"EQQF0060";"165";".";"8.45731707317073"
"01";"EQQH0020";"39";".";"5.94871794871794"
"01";"EQQH0050";"14";".";"17.3571428571428"
